age,sex,race,educd,stateicp,classwkrd,wkswork1,inctot,treatment
39,male,white,grade 10,alabama,"self-employed, not incorporated",36,50000,0
20,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",5,2000,1
19,female,two major races,"1 or more years of college credit, no degree",alabama,"wage/salary, private",45,1600,1
21,female,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,8200,1
19,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",16,2800,1
19,male,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",4,1200,0
49,male,white,grade 8,alabama,"wage/salary, private",11,10700,0
47,male,black/african american/negro,ged or alternative credential,alabama,"wage/salary, private",6,20000,0
18,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",7,1500,0
18,female,black/african american/negro,"some college, but less than 1 year",alabama,local govt employee,16,2000,1
58,male,black/african american/negro,"12th grade, no diploma",alabama,state govt employee,46,34500,0
28,female,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,12000,1
51,female,white,"1 or more years of college credit, no degree",alabama,state govt employee,52,55000,1
21,female,white,regular high school diploma,alabama,"wage/salary, private",52,8000,1
64,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,37300,0
59,male,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,20800,0
59,female,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",52,19200,1
54,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",50,38000,0
57,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",50,65000,1
71,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",50,68000,0
43,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,40000,1
43,male,white,ged or alternative credential,alabama,local govt employee,52,55000,0
56,female,white,bachelor's degree,alabama,local govt employee,52,45000,1
45,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,30000,1
41,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,16800,1
41,male,white,ged or alternative credential,alabama,"wage/salary, private",52,28800,0
17,male,white,grade 10,alabama,"wage/salary, private",30,3200,0
66,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,22090,1
49,female,white,ged or alternative credential,alabama,"wage/salary, private",52,12000,1
52,male,white,ged or alternative credential,alabama,"wage/salary, private",52,55000,0
29,female,white,grade 10,alabama,"wage/salary, private",52,5000,1
61,female,white,"1 or more years of college credit, no degree",alabama,local govt employee,52,33100,1
51,male,white,ged or alternative credential,alabama,"wage/salary, private",52,40000,0
54,male,white,grade 11,alabama,"wage/salary, private",26,3800,0
37,male,white,regular high school diploma,alabama,"wage/salary, private",52,38400,0
62,male,white,bachelor's degree,alabama,local govt employee,44,49320,0
30,male,black/african american/negro,master's degree,alabama,federal govt employee,52,51000,0
28,female,black/african american/negro,master's degree,alabama,wage/salary at non-profit,52,88000,1
55,male,black/african american/negro,"some college, but less than 1 year",alabama,"self-employed, not incorporated",26,1400,0
27,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",30,12600,0
28,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,34000,1
49,male,white,regular high school diploma,alabama,"wage/salary, private",36,6000,0
61,male,white,bachelor's degree,alabama,state govt employee,52,63000,0
59,male,white,bachelor's degree,alabama,"wage/salary, private",36,30000,0
59,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,80000,1
53,male,white,bachelor's degree,alabama,"self-employed, incorporated",52,370280,0
49,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,63000,0
18,male,white,regular high school diploma,alabama,"wage/salary, private",1,80,0
34,female,white,grade 10,alabama,"wage/salary, private",1,16260,1
36,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,25000,1
33,male,white,regular high school diploma,alabama,"wage/salary, private",14,7000,0
54,female,white,regular high school diploma,alabama,"wage/salary, private",52,38000,1
80,male,white,regular high school diploma,alabama,wage/salary at non-profit,52,71300,0
